0	0 |
00	0 0 |
000	0 0 0 |
04	0 4 |
1	1 |
10	1 0 |
100	1 0 0 |
1000	1 0 0 0 |
10000	1 0 0 0 0 |
100000	1 0 0 0 0 0 |
1001	1 0 0 1 |
100TH	1 0 0 T H |
1030	1 0 3 0 |
108	1 0 8 |
10CM	1 0 C M |
10KM	1 0 K M |
10TH	1 0 T H |
11	1 1 |
110	1 1 0 |
11000	1 1 0 0 0 |
112	1 1 2 |
117	1 1 7 |
11TH	1 1 T H |
12	1 2 |
120	1 2 0 |
1200	1 2 0 0 |
123	1 2 3 |
1235	1 2 3 5 |
125	1 2 5 |
1258	1 2 5 8 |
127	1 2 7 |
1275	1 2 7 5 |
1298	1 2 9 8 |
13	1 3 |
1300	1 3 0 0 |
130000	1 3 0 0 0 0 |
135	1 3 5 |
13TH	1 3 T H |
14	1 4 |
140	1 4 0 |
1400	1 4 0 0 |
143	1 4 3 |
15	1 5 |
150	1 5 0 |
1500	1 5 0 0 |
15000	1 5 0 0 0 |
150000	1 5 0 0 0 0 |
151	1 5 1 |
1516	1 5 1 6 |
155	1 5 5 |
1572	1 5 7 2 |
15TH	1 5 T H |
16	1 6 |
160	1 6 0 |
1600	1 6 0 0 |
1688	1 6 8 8 |
16S	1 6 S |
16TH	1 6 T H |
17	1 7 |
170	1 7 0 |
1700	1 7 0 0 |
17000	1 7 0 0 0 |
175	1 7 5 |
17TH	1 7 T H |
18	1 8 |
180	1 8 0 |
1800	1 8 0 0 |
1800'S	1 8 0 0 ' S |
181	1 8 1 |
1815	1 8 1 5 |
1854	1 8 5 4 |
1860S	1 8 6 0 S |
1898	1 8 9 8 |
18TH	1 8 T H |
19	1 9 |
190	1 9 0 |
1900	1 9 0 0 |
1900S	1 9 0 0 S |
1904	1 9 0 4 |
1906	1 9 0 6 |
1915	1 9 1 5 |
1920	1 9 2 0 |
1920S	1 9 2 0 S |
1928	1 9 2 8 |
193	1 9 3 |
1930S	1 9 3 0 S |
1940	1 9 4 0 |
1940S	1 9 4 0 S |
1941	1 9 4 1 |
1942	1 9 4 2 |
1945	1 9 4 5 |
1946	1 9 4 6 |
1947	1 9 4 7 |
1948	1 9 4 8 |
1949	1 9 4 9 |
1950	1 9 5 0 |
1950S	1 9 5 0 S |
1952	1 9 5 2 |
1953	1 9 5 3 |
1957	1 9 5 7 |
1958	1 9 5 8 |
1959	1 9 5 9 |
1960S	1 9 6 0 S |
1961	1 9 6 1 |
1963	1 9 6 3 |
1964	1 9 6 4 |
1967	1 9 6 7 |
1970	1 9 7 0 |
1970S	1 9 7 0 S |
1971	1 9 7 1 |
1972	1 9 7 2 |
1975	1 9 7 5 |
1978	1 9 7 8 |
1980S	1 9 8 0 S |
1981	1 9 8 1 |
1982	1 9 8 2 |
1984	1 9 8 4 |
1988	1 9 8 8 |
199	1 9 9 |
1990	1 9 9 0 |
1990S	1 9 9 0 S |
1991	1 9 9 1 |
1992	1 9 9 2 |
1993	1 9 9 3 |
1994	1 9 9 4 |
1995	1 9 9 5 |
1997	1 9 9 7 |
1998	1 9 9 8 |
1999	1 9 9 9 |
19TH	1 9 T H |
1B	1 B |
1ST	1 S T |
2	2 |
2'	2 ' |
20	2 0 |
20'S	2 0 ' S |
200	2 0 0 |
2000	2 0 0 0 |
20000	2 0 0 0 0 |
200000	2 0 0 0 0 0 |
2000S	2 0 0 0 S |
2001	2 0 0 1 |
2003	2 0 0 3 |
2004	2 0 0 4 |
2005	2 0 0 5 |
2006	2 0 0 6 |
2007	2 0 0 7 |
2008	2 0 0 8 |
2009	2 0 0 9 |
2010	2 0 1 0 |
2010S	2 0 1 0 S |
2011	2 0 1 1 |
2012	2 0 1 2 |
2013	2 0 1 3 |
2014	2 0 1 4 |
2015	2 0 1 5 |
2016	2 0 1 6 |
2017	2 0 1 7 |
2020	2 0 2 0 |
2020S	2 0 2 0 S |
2022	2 0 2 2 |
2025	2 0 2 5 |
2030	2 0 3 0 |
2050	2 0 5 0 |
207000	2 0 7 0 0 0 |
20S	2 0 S |
20TH	2 0 T H |
21	2 1 |
2100	2 1 0 0 |
21ST	2 1 S T |
22	2 2 |
220	2 2 0 |
22ND	2 2 N D |
23	2 3 |
23000	2 3 0 0 0 |
238PM	2 3 8 P M |
24	2 4 |
24000	2 4 0 0 0 |
24TH	2 4 T H |
25	2 5 |
250	2 5 0 |
2500	2 5 0 0 |
25000	2 5 0 0 0 |
250000	2 5 0 0 0 0 |
252	2 5 2 |
2555	2 5 5 5 |
256	2 5 6 |
26	2 6 |
266	2 6 6 |
27	2 7 |
27'	2 7 ' |
2700	2 7 0 0 |
271	2 7 1 |
275	2 7 5 |
28	2 8 |
28000	2 8 0 0 0 |
29	2 9 |
294	2 9 4 |
295	2 9 5 |
2D	2 D |
3	3 |
30	3 0 |
300	3 0 0 |
3000	3 0 0 0 |
30000	3 0 0 0 0 |
300000	3 0 0 0 0 0 |
30S	3 0 S |
31	3 1 |
311	3 1 1 |
32	3 2 |
32000	3 2 0 0 0 |
322	3 2 2 |
325	3 2 5 |
33	3 3 |
34	3 4 |
346	3 4 6 |
35	3 5 |
350000	3 5 0 0 0 0 |
35TH	3 5 T H |
360	3 6 0 |
3600	3 6 0 0 |
365	3 6 5 |
36TH	3 6 T H |
37	3 7 |
374	3 7 4 |
38	3 8 |
39	3 9 |
3D	3 D |
3RD	3 R D |
3S	3 S |
3X5	3 X 5 |
4	4 |
40	4 0 |
400	4 0 0 |
4000	4 0 0 0 |
40000	4 0 0 0 0 |
400000	4 0 0 0 0 0 |
401K	4 0 1 K |
40S	4 0 S |
41	4 1 |
415	4 1 5 |
42	4 2 |
42000	4 2 0 0 0 |
43	4 3 |
